ProteinID,PSME1_KD_1_original_intensity,PSME1_KD_2_original_intensity,PSME1_KD_3_original_intensity,Scram_1_original_intensity,Scram_2_original_intensity,Scram_3_original_intensity
CRTAP,28.06433515933821,28.103214786736128,28.011728401528806,27.947893357442144,28.02335205094511,28.275902045599718
CRYAB,27.494396177851574,27.678419522463496,27.402656456365882,28.406138333475916,27.66797713227248,27.62565465367404
CRYBG3,23.100038810750924,24.053591897677276,23.71235284881557,22.98064536393897,23.59151070243365,23.30142894963587
CRYZ,27.254178643743046,27.588598939669417,27.69524462200534,27.90889999293184,27.849446922719046,27.799809809647208
CRYZL1,25.029473295138864,25.197095665858008,25.507259309408923,25.200041709706003,25.344685624685347,25.461944822637506
CS,30.055230992338657,30.060366312804845,29.822403188931993,30.070850670853563,29.956055232571302,29.99908581941534
CSDE1,26.695414948395452,26.710866247450898,26.746333319013623,26.206852773278353,26.25938021620027,26.379795663173063
CSE1L,29.718045863048545,29.911664582450047,30.072893275676126,29.577335387183645,29.69288688886589,29.75027002238151
CSF1,25.714847535940766,25.80528196761516,25.95109587650851,25.850284352773674,25.755137727873834,26.11795785887841
CSGALNACT1,26.485884677996054,26.657483702222628,26.175311372293418,25.395279907583316,25.463417166941625,25.793263918992672
CSGALNACT2,24.705933714093824,24.626282262692506,24.59571848520008,24.780055597677986,24.77640421693157,24.49842836721505
CSK,25.671644902049238,25.87456566940556,25.708997650398203,25.687278306564423,25.773189818005438,25.30197096224582
CSNK1A1,27.34725672299332,27.050795307997646,27.338280797413894,27.37211336164588,27.29371788792094,27.23627812825387
CSNK1D,25.000605811960334,25.645882603649223,25.629900002071825,25.373064550670147,24.822678707943773,24.91328896807654
CSNK1G1,25.515178984790094,25.115054934291525,25.468381433084613,25.568646843833005,25.64250141672074,25.44781598180897
CSNK1G3,26.098932691941673,26.354769485123633,26.281572778434157,25.830252968488537,25.761512339027284,25.798804680688143
CSNK2A1,29.88469160304512,30.60062213194651,30.337511109179154,30.042679998162402,30.467122394010406,30.07221359159934
CSNK2A2,29.06433515933821,29.110787224463646,28.86970939665638,28.865032563051955,28.647734949253923,28.853089752334864
CSNK2B,29.538618843761505,29.581397392646235,29.41620680908157,29.601351542613493,29.448678850169923,29.660736960843266
CSRP1,29.00912492705187,28.983663902676785,29.433037771035153,29.844935706830785,29.757918883198236,29.088168739138272
CSRP2,25.00454396313524,25.697658485405203,25.288173726622162,24.841196101313393,25.30636262123148,24.570759343495876
CST3,25.91403024127006,25.228692562910897,25.539297453290917,25.78843565191156,25.609957621541003,25.71029558225609
CSTB,31.022746861790967,30.73086963762764,31.060897083458038,31.02155090594312,31.188932662158823,30.947987583015713
CSTF1,27.738208603747847,27.42965637130967,27.53871718827276,27.527900804970617,27.450165418938035,27.678524498629645
CSTF2,27.528915737674087,27.226536804999558,27.413409512662756,27.952812847759336,27.865638687986095,27.790088189040805
CSTF2T,25.830175332574893,25.466534778345054,25.126519274958213,25.594975496042917,25.458572314460163,25.276099820532398
CSTF3,26.171955269331562,25.87934131,25.98093130222076,25.95619086043338,25.775139560176306,26.01739933085399
CTBP1,27.037843538783743,27.404908060352053,27.26614197291206,27.02863720064161,27.33498533154686,27.09807615762789
CTBP2,27.86204132732806,27.894679056253295,28.001830678608634,27.691685817325567,27.60096351821347,27.586737245987354
CTCF,24.60961225,24.670121947148903,24.438703098817445,24.577447599874795,24.762533752246267,24.586986801631756
CTDNEP1,25.91004881,25.580610890560106,25.340228838439277,25.25165581731354,24.410623444671252,25.254058169425313
CTDSP1,25.33334399117992,23.534502667453012,25.38346128,21.85545557091706,25.18297270154528,24.54533093996762
CTDSPL2,24.801127331928534,24.189537373853316,24.717410505321936,25.298749610475177,25.641169236987697,25.711287973476242
CTIF,23.58410700578119,24.45322190138664,24.41204538478433,23.84514618536486,24.562540298770028,23.19753772339825
CTNNA1,27.80176755415828,27.818854583200466,27.90078285918503,28.25302523931657,28.373183897661832,28.164982522373858
CTNNA2,26.453875423137994,23.581777267477786,22.47930592389165,23.87680395730638,26.541599846502926,26.668536795960218
CTNNB1,27.924051521754443,27.865330760339663,27.718553921191514,27.836340042551384,27.899403620674093,28.188060239132067
CTNNBL1,27.453802686490175,27.648505090244353,27.569634842607535,27.30907524531062,27.415844465277953,27.242100078844956
CTNND1,28.912903637774605,28.92538645075816,28.89041175989085,29.07708517358798,28.917342009011204,29.123793843331445
CTPS1,28.25634886349174,28.45527504897201,28.42657826105513,28.351094705479827,28.402965357403293,28.093740884385408
CTPS2,25.418011468551214,25.572952296413185,25.62841840807302,25.72371160111909,25.346832416639224,25.46797944490043
CTR9,26.202146147622102,26.299613809933895,26.670805842620588,26.682628479207413,26.20988040915508,26.564098598913116
CTSA,28.60369117808825,28.872037508329335,28.58614531087752,28.96406995371481,28.832281133393266,29.005297452513037
CTSB,29.950867364889287,29.91931965909262,29.858515645763834,30.34939990934849,30.351710439190718,30.32896209
CTSC,26.82815663582637,26.73920731,26.432805569679974,26.843100235850322,26.555971929315504,26.736353517035877
CTSD,30.46176372915939,30.518445193376895,30.559384064346812,30.678601543708343,30.679227100327935,30.760124440214096
CTSL,28.551863439808137,28.31727607078308,28.483234476946723,28.559982596980447,28.855233481239736,28.42797823293921
CTSS,26.79052243924402,27.136386176652724,26.655241460123204,27.040869758741373,27.301732636333362,27.20174983343274
CTSZ,24.963689717697893,24.769790256436742,24.948297720823838,25.729534666140268,25.294053462061697,25.229011913437194
CTTN,28.128123687991515,28.592931040563855,29.01966728722759,28.597876219492115,28.97217613804196,28.256378667218907
CTTNBP2NL,25.591372334616935,26.046452018091397,26.18939027488881,22.54331695487216,23.270364862873286,23.13360717144079
CTU1,25.360664186412723,25.879806375919966,25.538791594267817,23.205143026655207,22.89388484794595,25.756954931773407
CUL1,25.97729506493067,26.066548482182395,26.145484257733354,26.134714026913432,26.032071193160448,25.945348719264725
CUL2,26.605296520693596,26.370176925097788,26.399677067166404,26.481072013764337,26.30046733010389,26.44688439792507
CUL3,26.512248236903513,26.464629371246158,26.55160642,26.374115135741757,26.632591687347936,26.275136487056475
CUL4A,26.409155778763278,26.49712353121028,26.400332405723127,26.407059212218712,26.184364371960154,26.374247630993167
CUL4B,26.48730675306525,26.47456246482494,26.544153591882182,26.184802563977694,26.39463891962742,26.426762673267223
CUL5,25.707325558103623,25.518590790239166,25.790147017970103,25.385919002189674,25.69966525406683,25.430985628458355
CUL7,23.766922960142303,24.161199298465217,23.563840497829023,23.171197789608545,23.28345409459311,23.168459000461937
CUTA,29.14076216991491,28.968111433724662,28.913147780644326,28.307679482675795,28.160579556732408,28.61831422766084
CUTC,23.901364585418033,25.44639352677918,23.032803978771124,22.657337737568277,22.425827540144194,25.24266338405623
CUX1,26.505526943375752,26.10671546,26.278029187063343,25.79788617043917,26.253016854484272,26.393271895429525
CUX1.1,25.497786767052347,25.524075422620037,25.115905475597312,25.115936819882805,25.218838494694673,25.239668302479938
CWC22,26.02289885835945,25.850305071663993,25.759520657437328,25.588581920576853,25.788564059005463,25.599877088449336
CWF19L1,26.153317770150768,25.91778056695279,26.12098360488428,26.15544363078376,26.048704173425392,25.760130587830872
CWF19L2,24.548420625407232,24.872767801962183,24.51614473896889,25.039377884244313,22.257609067167973,24.653047024328856
CXADR,26.404948265870917,26.474162139620788,26.611482069295864,25.79920282678801,26.09561953,26.085296064346178
CXCL2,24.99881218332688,24.390831924757418,24.78245062059473,24.43577404046024,22.38489744059464,24.574120181421005
CXCL5,23.56964561812009,27.329201534328675,27.442255536131306,27.587561489794247,27.809050406477756,27.392209206707637
CXorf38,23.084204559638298,25.72915113960444,26.134221882902324,25.92302969372712,26.145977255544615,25.854432134648693
CXXC1,25.341166744022644,25.146123013473698,25.19768919935972,25.310609026154314,23.460880031761523,25.613061720232356
CYB5A,28.438041765209462,28.131073094899598,27.95887971972947,28.42271353,28.553362743603653,28.17511583153209
CYB5B,28.061235203511433,28.371359777356382,27.983306127423315,27.971939294208067,27.923462525273255,27.755228777343703
CYB5D2,24.81001923336327,24.584952747205467,23.57015435809208,24.492711376508318,24.38271459043603,24.366450827812038
CYB5R1,27.656631493781802,27.634655989063614,27.472874452977358,27.595947816714638,27.586184176748937,27.72864575670925
CYB5R3,29.63135312268196,29.68782874424393,29.733290931737617,29.70065341441715,29.75854295,29.678378120466675
CYBA,24.972977223848023,25.11074265105794,25.050111130918637,25.27833719490539,25.156991364346453,25.42733573982526
CYC1,31.87079824924397,31.985231579546635,31.90900912239067,32.165509991719006,32.17614386515518,31.84194394
CYCS,29.425615724385153,29.625395064545774,29.844197015094423,29.776427568699408,29.631666138378463,29.74350735275898
CYFIP1,27.97709263823735,28.033343139038298,28.036495850440474,27.901574749000755,27.88885998452604,27.860993533047708
CYFIP2,23.64551641131042,23.396368358039023,23.837056663968742,23.79303149872616,24.061832365870995,22.96751174420075
CYP1B1,26.69233555546348,26.41072880028928,26.725826872967794,27.24671146538437,27.071178260315207,27.13789106213917
CYP20A1,25.87031602181561,25.797180090333526,25.72702894469146,25.67143992216645,25.44397119941603,25.755894824464615
CYP24A1,27.338695175642812,27.076381121536432,27.048669678749096,28.126336080806634,27.724631418045572,28.07008276232647
CYP2S1,27.22028699928028,27.592150802807932,27.26380314766713,27.129252664486405,27.222480445934714,27.308425758164205
CYP2U1,23.789600589346275,23.15582661898293,23.183291682015252,23.706073557267807,23.538711149835187,24.215373525705207
CYP4F11,29.669623307975073,29.774774961817347,29.448724586533075,29.499298686785554,29.453470019660454,29.848529007911214
CYP51A1,28.280213380650178,28.438128166329946,28.32677831871137,28.451358529695092,28.75400835635355,28.637917828544648
CYTH2,23.67397947833097,23.97794638810549,24.49531607274409,24.26246690579219,24.384838739218967,24.157403241836615
DAD1,23.438646927035833,23.11278752182772,26.50633122301126,22.291186386272706,26.849627165722826,26.365271198178668
DAG1,25.84961148482352,25.949141328815156,26.06157047756148,25.90712689041823,25.82751841256706,25.918388200756183
DAGLB,26.101534989957358,26.002134924992298,25.884762063973504,25.77508995,25.509592789001633,25.842241608817467
DAK,26.283974060316655,26.31408783113499,26.400463437719846,26.452558893482497,26.624328084597288,26.44109818011175
DAP,26.170362617087292,26.222160587319006,26.409899145851398,26.118307331505292,26.116780989123257,26.38596001226949
DAP3,27.796213324561172,27.83231271321804,27.452797485652017,27.554182293575632,27.51614815987042,27.99203616895631
DAPK1,25.723465290927653,25.498199213966807,24.996206129414755,25.461545617444166,25.542462355546515,25.657357645400168
DAPK3,26.15607425,25.972244286810106,26.24708756,26.20244707895536,26.452065994522012,26.316675405358232
DARS,28.971870344699642,29.224066514507683,29.189257558358577,29.232277188928354,28.98710884303524,28.944055887168354
DARS2,28.10399356315303,28.31370924328393,28.09833326176017,28.40695330033328,28.356073068624124,28.46703066503006
DAXX,23.931470509637528,25.591270755824898,25.547692568770053,25.54464568250556,25.26854044446437,25.19935784472444
DAZAP1,29.581043424627275,29.445156737442854,29.36069859308464,29.367201432027095,29.258470941759807,29.447636584142206
DBI,30.01352361697176,30.058184979557414,29.90133273844377,29.666231637296274,29.495582128753483,29.323772165496113
DBN1,28.325240055240748,28.136240206597368,28.146588098232602,28.14570206545506,28.07852755896287,28.240117961298676
DBNL,26.639210346869525,26.910128680796632,26.689425002728438,27.075215086620016,27.10267428442325,26.758063512862577
DBR1,25.293548512662415,25.63883843,25.450078222710154,25.269330820118622,25.553952802933306,25.220744297453596
DBT,27.58929458130593,27.57372861136229,26.953977894025456,27.93292026631653,28.129247316570737,28.075527461364317
DCAF13,25.965813190076677,25.957228750590627,25.873714440553332,25.773169693681048,25.89564936977745,25.92513732928752
DCAF7,26.448658188224382,26.387548894802343,26.068843786880926,26.31365432141095,25.96663600180789,25.956530036124892
DCAF8,25.95682835992227,25.74399212143642,25.52392371496308,25.517192290050417,25.60358784556954,25.186789307242556
DCAKD,27.670718950492034,27.749868220489645,27.60453204287719,27.302082889245863,27.25287149295155,27.378899161642963
DCBLD1,24.252657545128375,24.178162979930274,24.076716210023328,24.830933278736328,24.54448277,23.766817742036537
DCBLD2,25.638314541164934,25.54296226890415,25.97981367288668,26.32321815,25.92787376,26.00634999803038
DCK,25.98832475851113,26.11572633182332,25.73471416627531,25.665540543825585,25.517933580132322,25.407157421684477
DCP1A,25.23854038,25.613252314243386,25.716805574162432,25.977567786373676,25.85202825646744,25.598337421764413
DCP1B,24.748017710729485,25.042344905166804,25.496603728050204,25.039293789053776,24.987643985543837,24.626639552811106
DCPS,26.28673710872853,26.231118502586227,26.15145250540608,26.224545643744467,26.545477082938632,26.044991085352493
DCTD,26.055456302207485,26.261576438963807,26.159217089369392,26.00057755609613,26.177028715794506,25.798924375624857
DCTN1,28.278160948959215,28.272110513051814,28.26618691318279,28.211926061653273,28.16912609585004,28.16934070076422
DCTN2,27.12903499813545,27.417615569004234,27.457921677681863,27.399151507433015,27.224335048376627,26.98794728088843
DCTN6,27.206020642675238,27.30750001360566,27.150537417122308,27.22071295,27.222758788333895,26.75127550878781
DCTPP1,27.9392503,27.875102260466516,27.775357233369473,27.232346157450507,27.645106710761386,27.36409060322357
DCUN1D1,22.986782380528975,25.56073517281969,25.91180976378469,24.666166967711746,25.305907296928854,24.87119559780179
DCUN1D5,25.21022926800243,25.368371827556313,25.40553178375689,24.803566518971596,24.95213799889799,23.23532911459957
DCXR,23.788493591370695,23.144072890846576,24.263497020767087,23.649153051734167,23.601300760512512,23.589258544652342
DDAH2,23.19847992590898,25.68629747634721,25.461960883809812,25.531313202243037,25.66127037319122,25.42262053907228
DDB1,28.925520928638043,29.007587340021395,29.008830668279813,29.058326189011968,28.84992752069672,28.89352838214239
DDB2,25.72230634452106,25.56314055867855,25.445640522991877,26.251329140614374,25.804396228035262,26.065950898068206
DDHD1,24.999290702375205,23.614086448529086,24.743521223105223,23.775300367968793,24.91720442822617,24.71834223467491
DDHD2,24.534566616327105,24.938354066834272,24.363604078664938,24.29438718554886,24.746826464004524,24.506014552442814
DDI2,23.162039244070897,23.150650558626182,24.25225774947658,25.367113492053978,25.704722397369725,22.966460023466787
DDOST,30.06216589,30.20586700637752,30.278024729836766,30.311275189861643,30.16045847956051,30.47852824676702
